route,xD,yD,xF,yF,tmja,tmja1,tmja2,tmja3,tmja4,tmja5
N0012,"479257,78","6820134,45","478298,55","6820446,09",0.0,8678.0,8721.0,8718.0,9132.0,8963.0
N0012,"478298,55","6820446,09","478282,42","6820458,46",0.0,8678.0,8721.0,8718.0,9132.0,8963.0
N0012,"478282,42","6820458,46","471963,76","6822497,37",0.0,8648.0,8689.0,8686.0,9098.0,8928.0
N0012,"471963,76","6822497,37","470291,21","6823248,43",0.0,8648.0,8689.0,8686.0,9098.0,8928.0
N0012,"470291,21","6823248,43","468916,46","6823747,96",0.0,8648.0,8689.0,8686.0,9098.0,8928.0
N0012,"468916,46","6823747,96","467058,19","6824252,89",0.0,8648.0,8689.0,8686.0,9098.0,8928.0
N0012,"467058,19","6824252,89","463141,96","6822446,7",7996.0,7660.0,7540.0,8592.0,8843.0,8609.0
N0012,"463141,96","6822446,7","460476,46","6820855,82",5281.0,5060.0,4981.0,5507.0,5668.0,5518.0
N0012,"460476,46","6820855,82","459744,44","6820390,03",5281.0,5060.0,4981.0,5507.0,5668.0,5518.0
N0012,"459744,44","6820390,03","452145,84","6817878,65",5281.0,5060.0,4981.0,5507.0,5668.0,5518.0
N0012,"452145,84","6817878,65","443161,32","6812132,46",5702.0,5462.0,5376.0,5451.0,5610.0,5461.0
N0012,"443161,32","6812132,46","443111,22","6812124,86",5702.0,5462.0,5376.0,5451.0,5610.0,5461.0
N0012,"443111,22","6812124,86","440563,94","6811322,77",5702.0,5462.0,5376.0,5451.0,5610.0,5461.0
N0012,"440563,94","6811322,77","435475,84","6808982,43",5702.0,5462.0,5376.0,5451.0,5610.0,5461.0
N0012,"435475,84","6808982,43","432777,46","6807128,91",8621.0,8259.0,8130.0,8237.0,8478.0,8253.0
N0012,"432777,46","6807128,91","432065,36","6806586,21",13001.0,12454.0,12258.0,12430.0,12793.0,11940.0
N0012,"432065,36","6806586,21","432026,01","6806619,72",13001.0,12454.0,12258.0,12430.0,12793.0,11940.0
N0012,"432026,01","6806619,72","431976,06","6806662,66",13001.0,12454.0,12258.0,12430.0,12793.0,11940.0
N0012,"431976,06","6806662,66","431455,39","6807086,6",12633.0,12102.0,11912.0,12079.0,12432.0,12238.0
N0012,"431455,39","6807086,6","430741,54","6807087,88",8960.0,8583.0,8448.0,8566.0,8816.0,8722.0
N0012,"430741,54","6807087,88","410009,37","6806872,67",5229.0,5090.0,4961.0,5019.0,5150.0,5005.0
N0012,"410009,37","6806872,67","408705,52","6806725,41",7621.0,7419.0,7231.0,7243.0,7291.0,11346.0
N0012,"408705,52","6806725,41",408353,"6806851,01",14276.0,13897.0,13545.0,13567.0,13656.0,12934.0
N0012,408353,"6806851,01","408340,41","6806859,42",14276.0,13897.0,13545.0,13567.0,13656.0,12934.0
N0012,"408340,41","6806859,42","408317,91","6806883,69",14276.0,13897.0,13545.0,13567.0,13656.0,12934.0
N0012,"408317,91","6806883,69","408040,05","6806915,61",10009.0,9743.0,9497.0,9513.0,9576.0,8205.0
N0012,"408040,05","6806915,61","407761,81","6806939,7",10009.0,9743.0,9497.0,9513.0,9576.0,8205.0
N0012,"407761,81","6806939,7","407164,69","6806871,6",10009.0,9743.0,9497.0,9513.0,9576.0,8205.0
N0012,"407164,69","6806871,6","399234,67","6809256,35",7288.0,7096.0,6917.0,6929.0,6975.0,6834.0
N0012,"399234,67","6809256,35","394274,75","6811932,15",6443.0,6362.0,6248.0,6258.0,6299.0,6171.0
N0012,"394274,75","6811932,15","391148,07","6812881,97",10608.0,10475.0,10288.0,10305.0,10373.0,10163.0
N0012,"391148,07","6812881,97","391133,67",6812898,,,,,,
N0012,"391133,67",6812898,"387031,95","6813421,95",15016.0,14556.0,0.0,0.0,0.0,0.0
N0012,"387031,95","6813421,95","386766,5","6814118,27",15016.0,14556.0,0.0,0.0,0.0,0.0
